date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:24	566/566	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Dec%202021%2016:15:23%20GMT	http://praktica.planetaclix.pt/robots.txt		(from )
16:15:24	8417/8417	---M--	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202005%2012:09:14%20GMT	http://praktica.planetaclix.pt/	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/index.html	(from )
16:15:24	730/730	---M--	200	added ('OK')	text/css	date:Sun,%2018%20Jul%202004%2012:42:39%20GMT	http://praktica.planetaclix.pt/css/ppages.css	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/css/ppages.css	(from http://praktica.planetaclix.pt/)
16:15:24	4859/4859	---M--	200	added ('OK')	image/gif	date:Mon,%2017%20May%202004%2020:45:19%20GMT	http://praktica.planetaclix.pt/images/logprakt.gif	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/logprakt.gif	(from http://praktica.planetaclix.pt/)
16:15:24	8417/8417	---M--	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202005%2012:09:14%20GMT	http://praktica.planetaclix.pt/index.html	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/index-2.html	(from http://praktica.planetaclix.pt/)
16:15:25	14857/14857	---M--	200	added ('OK')	text/html	date:Sun,%2018%20Jul%202004%2012:38:41%20GMT	http://praktica.planetaclix.pt/bodies.html	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/bodies.html	(from http://praktica.planetaclix.pt/)
16:15:25	18032/18032	---M--	200	added ('OK')	text/html	date:Sun,%2018%20Jul%202004%2012:38:41%20GMT	http://praktica.planetaclix.pt/lenses.html	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/lenses.html	(from http://praktica.planetaclix.pt/)
16:15:26	6910/6910	---M--	200	added ('OK')	text/html	date:Sun,%2018%20Jul%202004%2012:38:41%20GMT	http://praktica.planetaclix.pt/accessories.html	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/accessories.html	(from http://praktica.planetaclix.pt/)
16:15:26	30810/30810	---M--	200	added ('OK')	text/html	date:Sun,%2018%20Jul%202004%2012:38:41%20GMT	http://praktica.planetaclix.pt/M42.html	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/M42.html	(from http://praktica.planetaclix.pt/)
16:15:28	7099/7099	---M--	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202005%2011:56:11%20GMT	http://praktica.planetaclix.pt/trivia.html	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/trivia.html	(from http://praktica.planetaclix.pt/)
16:15:28	3159/3159	---M--	200	added ('OK')	text/html	date:Sun,%2018%20Jul%202004%2012:38:41%20GMT	http://praktica.planetaclix.pt/contacts.html	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/contacts.html	(from http://praktica.planetaclix.pt/)
16:15:28	4669/4669	---M--	200	added ('OK')	text/html	date:Fri,%2016%20Sep%202005%2011:10:52%20GMT	http://praktica.planetaclix.pt/about.html	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/about.html	(from http://praktica.planetaclix.pt/)
16:15:28	1671/1671	---M--	200	added ('OK')	image/gif	date:Mon,%2017%20May%202004%2020:45:19%20GMT	http://praktica.planetaclix.pt/images/DDRflag.gif	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/DDRflag.gif	(from http://praktica.planetaclix.pt/)
16:15:28	44/44	---M--	200	added ('OK')	image/gif	date:Mon,%2017%20May%202004%2020:47:39%20GMT	http://praktica.planetaclix.pt/images/pixel.gif	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/pixel.gif	(from http://praktica.planetaclix.pt/)
16:15:29	1310/1310	---M--	200	added ('OK')	image/gif	date:Mon,%2017%20May%202004%2020:45:19%20GMT	http://praktica.planetaclix.pt/images/indlogo.gif	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/indlogo.gif	(from http://praktica.planetaclix.pt/)
16:15:29	11886/11886	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20May%202004%2020:45:19%20GMT	http://praktica.planetaclix.pt/images/B200.jpg	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/B200.jpg	(from http://praktica.planetaclix.pt/)
16:15:29	1012/1012	---M--	200	added ('OK')	image/gif	date:Mon,%2017%20May%202004%2020:47:39%20GMT	http://praktica.planetaclix.pt/images/Pentacon2.gif	C:/My%20Web%20Sites/Praktica/praktica.planetaclix.pt/images/Pentacon2.gif	(from http://praktica.planetaclix.pt/lenses.html)
